scr_selcode,sub_id3,sub_name,scr_credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_precnt,scr_acptcnt,scr_remarks,unt_ls,cls_id,sub_id,scr_dup,scr_ldl,scr_english
2658,IDSD1211,永續在地社會責任,2.0,選修,否,否,否,跨領域設計學院綜合班,42.0,29.0,,3501,SX01100,08547,001,課堂教學,N
2659,IDSD1212,做自己的生命設計師,2.0,選修,否,否,否,跨領域設計學院綜合班,42.0,23.0,本課程因實務操作需求，採密集授課，上課日期為 4/22（六）、5/06（六）-5/07（日）、5/13（六），共計三週，週六09：00-16：00，其中5/06-5/07這週六日將進行兩天一夜的移地實作演練，選修此門課程同學請注意週六上午10:00-12:00此時段請勿選課，避免衝堂。相關公告以跨領域設計學院粉絲專頁（https://www.facebook.com/fcudschool），是否列入畢業學分請與各系確認。,3501,SX01100,16250,001,課堂教學,N
2660,IDSD1121,設計循環經濟,1.0,選修,否,否,否,跨領域設計學院綜合班,42.0,17.0,本課程因實務操作需求，採密集授課，上課日期為 3/10、3/17、3/24、3/31、4/14、4/21，共計六週，週五13：00-16：00（第六節到第八節），選修此門課程同學請注意週五第六節到第八節請勿選課，避免衝堂。相關公告以跨領域設計學院粉絲專頁（https://www.facebook.com/fcudschool），是否列入畢業學分請與各系確認。,3501,SX01100,40699,001,課堂教學,N
2661,IDSD1132,漫步雲端：雲端架構實作,1.0,選修,否,否,否,跨領域設計學院綜合班,42.0,0.0,本課程因實務操作需求，採密集授課，上課日期為 5/20、5/27、6/03(六)，共計三週，週六09：00-16：00，選修此門課程同學請注意週六早上8:00-9:00此時段請勿選課，避免衝堂。相關公告以跨領域設計學院粉絲專頁（https://www.facebook.com/fcudschool），是否列入畢業學分請與各系確認。,3501,SX01100,71123,001,課堂教學,N
2662,IDSS3001,企業責任與全球永續,2.0,選修,否,否,否,社會創新學院綜合班,60.0,53.0,,3502,SX02100,15854,001,課堂教學,N
2663,IDSS3005,產業碳足跡盤查與減碳實務,4.0,選修,否,否,否,社會創新學院綜合班,60.0,46.0,,3502,SX02100,41140,001,課堂教學,N
3575,IDSS3006,社會創新黑客松,3.0,選修,否,否,否,社會創新學院綜合班,40.0,40.0,,3502,SX02100,20027,001,課堂教學,N
0747,IINE1805,人工智慧導論,2.0,選修,否,否,否,創能學院綜合班,76.0,33.0,,3800,CC00100,00028,001,課堂教學,N
0748,IINE1805,人工智慧導論,2.0,選修,否,否,否,創能學院綜合班,76.0,69.0,,3800,CC00100,00028,002,課堂教學,N
0749,IINE2811,人工智慧實務案例分析,2.0,選修,否,否,否,創能學院綜合班,76.0,37.0,,3800,CC00100,00059,001,課堂教學,N
0750,IINE1806,大數據分析入門,2.0,選修,否,否,是,創能學院綜合班,60.0,51.0, ,3800,CC00100,04397,001,課堂教學,N
0751,IINE1803,Python程式設計與應用,2.0,選修,否,否,否,創能學院綜合班,76.0,66.0,,3800,CC00100,27252,001,課堂教學,N
0752,IINE1803,Python程式設計與應用,2.0,選修,否,否,否,創能學院綜合班,76.0,64.0,,3800,CC00100,27252,002,課堂教學,N
0753,IINE5990,跨領域畢業專題(一),3.0,選修,否,否,否,創能學院綜合班,60.0,10.0,,3800,CC00100,57889,001,課堂教學,N
