scr_selcode,sub_name,scr_credit,scj_scr_mso,cls_name,scr_period,scr_precnt,scr_acptcnt,scr_remarks
2658,永續在地社會責任,2,選修,跨領域設計學院綜合班,"(四)10-11 文301 林志皇,劉峰旗",42,29,
2659,做自己的生命設計師,2,選修,跨領域設計學院綜合班,"(六)03-04 文301 侯勝宗,陳信宏",42,23,本課程因實務操作需求，採密集授課，上課日期為 4/22（六）、5/06（六）-5/07（日）、5/13（六），共計三週，週六09：00-16：00，其中5/06-5/07這週六日將進行兩天一夜的移地實作演練，選修此門課程同學請注意週六上午10:00-12:00此時段請勿選課，避免衝堂。相關公告以跨領域設計學院粉絲專頁（https://www.facebook.com/fcudschool），是否列入畢業學分請與各系確認。
2660,設計循環經濟,1,選修,跨領域設計學院綜合班,"(五)06     文301 陳盛通,吳俊哲",42,17,本課程因實務操作需求，採密集授課，上課日期為 3/10、3/17、3/24、3/31、4/14、4/21，共計六週，週五13：00-16：00（第六節到第八節），選修此門課程同學請注意週五第六節到第八節請勿選課，避免衝堂。相關公告以跨領域設計學院粉絲專頁（https://www.facebook.com/fcudschool），是否列入畢業學分請與各系確認。
2661,漫步雲端：雲端架構實作,1,選修,跨領域設計學院綜合班,"(六)01     文301 吳如娟,黃智彥",42,0,本課程因實務操作需求，採密集授課，上課日期為 5/20、5/27、6/03(六)，共計三週，週六09：00-16：00，選修此門課程同學請注意週六早上8:00-9:00此時段請勿選課，避免衝堂。相關公告以跨領域設計學院粉絲專頁（https://www.facebook.com/fcudschool），是否列入畢業學分請與各系確認。
2662,企業責任與全球永續,2,選修,社會創新學院綜合班,"(四)08-09 科航206 汪浩,陳厚儒",60,53,
2663,產業碳足跡盤查與減碳實務,4,選修,社會創新學院綜合班,"(五)06-09 科航206 賴奇厚,呂晃志,施孟芬",60,46,
3575,社會創新黑客松,3,選修,社會創新學院綜合班,"(二)06-08 人502 江宜芳,陳亭廷",40,40,
747,人工智慧導論,2,選修,創能學院綜合班,(四)11-12 圖213_程式實作 魏旻柔,76,33,
748,人工智慧導論,2,選修,創能學院綜合班,(五)06-07 圖213_程式實作 許恆修,76,69,
749,人工智慧實務案例分析,2,選修,創能學院綜合班,(五)08-09 圖213_程式實作 許恆修,76,37,
750,大數據分析入門,2,選修,創能學院綜合班,(二)11-12 圖213_程式實作 莊家雋,60,51, 
751,Python程式設計與應用,2,選修,創能學院綜合班,(三)03-04 圖213_程式實作 黃鈺茗,76,66,
752,Python程式設計與應用,2,選修,創能學院綜合班,(四)06-07 圖213_程式實作 賴璉錡,76,64,
753,跨領域畢業專題(一),3,選修,創能學院綜合班,"(六)00     未排教室 蔡明翰,周永振,梁辰睿",60,10,
754, iOS APP程式設計,2,選修,創能學院綜合班,(一)03-04 行206(電腦實習室) 陳重宏,30,24,
755, iOS APP程式設計,2,選修,創能學院綜合班,(一)06-07 行206(電腦實習室) 陳重宏,30,26,
756, iOS APP程式設計,2,選修,創能學院綜合班,(三)03-04 行206(電腦實習室) 許芳榮,30,22,
757,Android APPS 創意程式設計,2,選修,創能學院綜合班,(一)08-09 圖212_資訊素養 黃鈺茗,50,13,
758,Android APPS 創意程式設計,2,選修,創能學院綜合班,(二)01-02 圖212_資訊素養 林嘉成,50,36,
759,Android APPS 創意程式設計,2,選修,創能學院綜合班,(二)03-04 圖212_資訊素養 林育含,50,29,
760,Android APPS 創意程式設計,2,選修,創能學院綜合班,(二)08-09 圖212_資訊素養 許俊伯,50,28,
3535,世界經濟論壇—「新國富論」：資源、通貨與體制,2,選修,創能學院綜合班,"(二)11-12 圖B109 高承恕,梁賡義,魏國彥,葉守禮",60,114,
3536,數據科學在教育上的應用,2,選修,創能學院綜合班,"(二)03-04 理203(數電腦室) 林彩玉,張其棟",60,32,
3537,當教育大數據遇見AI,2,選修,創能學院綜合班,(三)09-10 圖213_程式實作 劉明機,70,67,
3558,產業實戰—動態競爭與調查分析,2,選修,創能學院綜合班,"(三)11-12 圖213_程式實作 佘日新,李秉乾,楊光磊,黃欽勇",70,55,
761,班級活動,0,必修,人工智慧一學位學程,(一)09     科航205 周永振,60,54, 
